,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
41,40,116618.6369,4182.730973,66904,0.405080002,0.568988387,19476,15.5362213,8.879922601,503361,0,AGR,CORAL,0,0,0,8
42,50,116360.1908,2924.752825,62511,0.383421166,0.538730359,18539,15.91068665,9.222351209,486171,0,AGR,CORAL,0,0,0,8
43,60,115418.0807,4370.688457,59826,0.353891821,0.499977667,17619,15.96754559,9.421792499,456552,0,AGR,CORAL,0,0,0,8
44,70,114097.4589,5786.39534,58712,0.315394427,0.447140693,16679,16.84548707,9.516016514,435816,0,AGR,CORAL,0,0,0,8
45,80,112519.0446,6864.850873,58920,0.276256835,0.390926461,16343,17.47464439,9.143258685,429930,0,AGR,CORAL,0,0,0,8
46,90,110739.6491,8622.207951,59381,0.239182829,0.334693206,15645,17.60137338,8.96089047,426258,0,AGR,CORAL,0,0,0,8
47,100,108324.5905,10901.93552,61939,0.209006876,0.299567903,15498,17.59902429,9.990825255,430857,0,AGR,CORAL,0,0,0,8
48,110,105556.2616,11966.79415,65697,0.197437499,0.275452416,15279,17.72667486,10.9268955,443736,0,AGR,CORAL,0,0,0,8
49,120,100878.4736,16546.65049,69125,0.220939176,0.276081666,14564,18.02462546,11.44298639,448758,0,AGR,CORAL,0,0,0,8
50,130,95229.63994,20568.84995,73676,0.266368532,0.292316562,14283,18.69187879,12.5407194,478665,0,AGR,CORAL,0,0,0,8
51,140,87120.93579,26843.45972,78241,0.309385656,0.325472906,13948,20.56241935,14.5098338,533268,0,AGR,CORAL,0,0,0,8
52,150,76157.51585,32880.66005,82709,0.346339284,0.335390064,12827,22.57073847,16.07842697,589059,1,AGR,CORAL,0,0,0,8
53,160,63218.36796,37704.82194,84225,0.385886119,0.323563354,11745,21.48503812,17.41750529,649557,1,AGR,CORAL,0,0,0,8
54,170,48226.13464,39713.1328,85966,0.529698201,0.730169511,11259,20.96810074,18.9550967,713070,1,AGR,CORAL,0,0,0,8
55,180,35483.17851,35068.73923,87328,1.193665151,2.00535078,11709,18.07152954,18.58881385,723510,0,AGR,CORAL,0,0,0,8
56,190,24551.95438,25109.38338,84102,1.855651672,2.492606938,12695,16.3160148,18.17524808,704772,0,AGR,CORAL,0,0,0,8
57,200,18190.93368,16440.5232,78551,2.085289633,2.666381684,12561,15.72436545,18.06881071,676278,0,AGR,CORAL,0,0,0,8
58,210,14170.95489,11135.06805,73355,2.173043532,2.631762031,12640,13.63128038,16.30653371,623862,0,AGR,CORAL,0,0,0,8
59,220,11993.35647,6436.809402,67201,2.219862741,2.589668584,12383,10.57503868,13.82248954,554760,0,AGR,CORAL,0,0,0,8
